Id,name,year,number of 4,number of 6,team,win,loss,draw
1,r,2007,11,15,aa,0,0,1
2,p,2010,23,10,cc,0,0,1
3,l,2007,7,12,bb,0,0,1
4,i,2003,25,14,ee,0,0,1
5,d,2008,6,3,ee,0,0,1
6,k,1998,5,9,bb,1,0,0
7,p,1990,20,15,dd,0,1,0
8,v,1995,13,11,bb,0,1,0
9,o,2003,10,13,cc,0,1,0
10,k,2002,2,2,dd,0,0,1
11,w,2003,5,12,ee,0,0,1
12,n,1998,10,12,ee,1,0,0
13,t,2001,15,11,bb,0,0,1
14,w,1998,21,11,cc,0,0,1
15,g,2010,24,11,dd,0,0,1
16,o,1994,17,12,cc,0,1,0
17,a,1990,13,9,ee,0,1,0
18,g,1998,23,13,bb,1,0,0
19,f,1988,14,1,aa,0,1,0
20,t,1988,12,12,cc,0,0,1
21,u,1990,0,13,ee,0,0,1
22,r,1995,15,2,ee,0,0,1
23,m,1991,9,0,cc,0,0,1
24,f,2005,10,0,dd,0,0,1
25,e,2010,19,11,ee,0,1,0
26,q,1991,19,10,aa,0,0,1
27,g,1992,7,14,cc,1,0,0
28,r,2007,15,7,cc,1,0,0
29,w,1988,24,11,ee,0,0,1
30,c,1997,24,2,dd,0,1,0
31,z,1999,22,6,ee,0,0,1
32,b,2010,12,2,ee,0,1,0
33,d,2007,10,4,ee,0,1,0
34,o,2003,20,10,dd,0,1,0
35,k,2007,2,4,bb,1,0,0
36,r,1988,19,15,cc,1,0,0
37,u,2010,18,2,aa,0,1,0
38,d,1992,18,14,bb,0,0,1
39,l,1988,23,5,dd,0,0,1
40,g,2007,3,8,ee,0,1,0
41,r,1990,24,10,dd,0,1,0
42,k,2005,25,5,dd,1,0,0
43,n,1990,16,9,bb,1,0,0
44,x,2005,11,4,cc,0,0,1
45,x,1996,0,12,dd,0,0,1
46,w,2001,14,9,dd,0,1,0
47,e,1996,6,12,cc,0,0,1
48,t,1991,25,11,cc,0,1,0
49,y,2003,6,9,dd,0,1,0
50,g,2006,12,12,aa,0,0,1
51,g,2009,9,6,aa,0,1,0
52,u,1999,6,1,cc,1,0,0
53,h,2000,22,6,aa,0,0,1
54,t,2008,16,6,bb,1,0,0
55,m,2005,4,13,bb,0,0,1
56,t,1999,12,4,cc,0,1,0
57,n,2003,12,6,dd,0,1,0
58,y,2010,10,15,ee,0,1,0
59,e,1997,1,6,bb,1,0,0
60,r,1992,6,0,ee,0,1,0
61,c,1991,13,2,cc,0,0,1
62,h,1994,16,13,aa,0,1,0
63,x,2010,3,4,dd,1,0,0
64,t,2003,14,1,aa,0,1,0
65,d,2002,4,6,aa,0,0,1
66,t,2006,7,4,cc,0,1,0
67,m,1993,13,11,cc,1,0,0
68,f,1988,7,1,cc,0,1,0
69,n,2000,21,9,cc,1,0,0
70,d,1999,3,2,bb,0,1,0
71,l,1989,22,9,aa,0,0,1
72,l,1998,25,12,dd,1,0,0
73,s,2001,2,3,bb,0,0,1
74,v,1995,7,8,dd,0,1,0
75,j,1991,7,13,cc,1,0,0
76,g,1991,4,14,cc,0,0,1
77,g,2003,17,10,dd,1,0,0
78,j,2008,12,7,ee,0,0,1
79,a,2001,18,3,bb,0,0,1
80,r,1998,14,15,ee,0,0,1
81,v,1988,6,7,cc,0,0,1
82,r,2004,22,12,cc,0,0,1
83,c,1995,8,4,cc,0,1,0
84,y,2010,24,15,dd,0,0,1
85,g,2000,8,13,ee,1,0,0
86,h,1993,23,1,dd,0,1,0
87,x,2003,18,7,dd,0,1,0
88,g,1990,22,12,cc,0,1,0
89,k,1997,20,15,dd,0,0,1
90,j,2005,19,5,cc,0,0,1
91,a,1990,6,0,ee,1,0,0
92,s,2004,8,8,aa,0,1,0
93,e,2008,14,12,aa,0,0,1
94,s,2004,13,3,bb,0,1,0
95,t,2008,17,8,ee,0,1,0
96,z,2001,17,14,ee,0,1,0
97,p,1997,17,11,aa,1,0,0
98,g,2001,13,2,cc,0,0,1
99,f,1992,2,0,aa,0,1,0
100,v,1993,12,8,aa,0,0,1
101,t,1988,9,12,cc,1,0,0
102,m,2005,18,6,aa,0,0,1
103,d,2002,4,4,bb,1,0,0
104,q,2003,7,13,aa,0,1,0
105,v,2006,7,5,dd,0,0,1
106,m,2009,7,0,dd,0,0,1
107,f,1988,13,8,bb,1,0,0
108,e,1997,1,14,dd,1,0,0
109,t,1998,3,1,cc,0,0,1
110,o,2007,13,15,bb,0,0,1
111,q,1996,9,15,cc,0,1,0
112,w,2004,25,4,cc,0,0,1
113,o,1994,9,3,bb,0,0,1
114,u,2007,18,14,aa,0,1,0
115,i,2004,7,1,bb,0,1,0
116,a,2009,13,12,dd,0,0,1
117,g,2006,19,5,ee,0,0,1
118,l,1999,20,10,cc,0,0,1
119,j,2002,23,6,ee,1,0,0
120,e,1991,25,14,dd,0,0,1
121,v,1998,10,1,dd,0,1,0
122,u,2009,17,6,aa,1,0,0
123,h,2008,22,12,cc,0,1,0
124,q,2007,20,15,aa,1,0,0
125,f,1990,8,10,aa,1,0,0
126,o,1999,2,14,ee,0,0,1
127,f,1993,21,15,cc,1,0,0
128,n,1999,4,4,ee,1,0,0
129,h,1994,22,10,dd,0,1,0
130,c,2007,6,15,bb,0,0,1
131,u,1997,7,12,bb,0,1,0
132,p,1988,2,10,bb,0,0,1
133,i,1989,22,3,ee,0,0,1
134,f,1999,22,12,cc,1,0,0
135,w,1991,24,5,dd,0,1,0
136,h,1999,3,7,aa,0,0,1
137,h,1995,13,7,ee,0,0,1
138,t,2004,15,7,bb,0,1,0
139,i,1997,25,5,bb,0,1,0
140,j,1996,13,12,bb,1,0,0
141,i,2009,2,0,ee,0,1,0
142,u,1992,17,15,ee,0,0,1
143,y,1990,11,15,ee,1,0,0
144,q,1999,9,10,aa,0,0,1
145,v,2009,4,7,bb,0,1,0
146,g,2009,10,1,ee,0,1,0
147,c,2006,4,1,ee,0,0,1
148,q,2002,13,11,bb,1,0,0
149,f,2008,5,14,cc,1,0,0
150,i,1990,0,6,aa,1,0,0
151,w,2009,5,1,dd,0,1,0
152,v,1992,5,1,aa,0,1,0
153,x,2007,25,12,aa,1,0,0
154,k,2000,17,14,ee,1,0,0
155,o,1990,7,2,bb,0,1,0
156,h,1998,6,12,aa,0,0,1
157,u,1992,21,5,cc,1,0,0
158,z,1996,4,8,cc,1,0,0
159,b,2006,13,4,aa,1,0,0
160,f,2002,25,6,aa,1,0,0
161,u,2005,6,11,ee,0,1,0
162,a,2001,4,14,aa,0,0,1
163,i,2001,5,9,aa,1,0,0
164,r,1992,1,11,dd,0,0,1
165,n,1995,7,14,dd,0,0,1
166,e,2001,16,0,aa,1,0,0
167,t,1990,25,4,aa,0,0,1
168,c,2007,7,12,aa,0,1,0
169,x,2001,16,4,aa,0,0,1
170,u,2003,17,15,ee,0,0,1
171,s,1996,14,7,ee,1,0,0
172,l,2002,19,1,aa,1,0,0
173,v,1988,10,1,ee,0,1,0
174,s,2009,5,8,aa,0,1,0
175,a,1999,22,8,dd,0,0,1
176,v,1994,15,15,ee,1,0,0
177,j,2008,10,8,aa,0,1,0
178,z,1999,25,6,aa,0,0,1
